node_no,x,y
163,0.0078125,0.12890625
164,0.0078125,0.1328125
165,0.0078125,0.13671875
166,0.0078125,0.140625
167,0.0078125,0.14453125
168,0.0078125,0.1484375
169,0.0078125,0.15234375
170,0.0078125,0.15625
171,0.0078125,0.16015625
172,0.0078125,0.1640625
173,0.0078125,0.16796875
174,0.0078125,0.171875
175,0.0078125,0.17578125
176,0.0078125,0.1796875
177,0.0078125,0.18359375
178,0.0078125,0.1875
179,0.0078125,0.19140625
180,0.0078125,0.1953125
181,0.0078125,0.19921875
182,0.0078125,0.203125
183,0.0078125,0.20703125
184,0.0078125,0.2109375
185,0.0078125,0.21484375
186,0.0078125,0.21875
187,0.0078125,0.22265625
188,0.0078125,0.2265625
189,0.0078125,0.23046875
190,0.0078125,0.234375
191,0.0078125,0.23828125
192,0.0078125,0.2421875
193,0.0078125,0.24609375
194,0.0078125,0.25
195,0.01171875,0.0
196,0.01171875,0.00390625
197,0.01171875,0.0078125
198,0.01171875,0.01171875
199,0.01171875,0.015625
200,0.01171875,0.01953125
201,0.01171875,0.0234375
202,0.01171875,0.02734375
203,0.01171875,0.03125
204,0.01171875,0.03515625
205,0.01171875,0.0390625
206,0.01171875,0.04296875
207,0.01171875,0.046875
208,0.01171875,0.05078125
209,0.01171875,0.0546875
210,0.01171875,0.05859375
211,0.01171875,0.0625
212,0.01171875,0.06640625
213,0.01171875,0.0703125
214,0.01171875,0.07421875
215,0.01171875,0.078125
216,0.01171875,0.08203125
217,0.01171875,0.0859375
218,0.01171875,0.08984375
219,0.01171875,0.09375
220,0.01171875,0.09765625
221,0.01171875,0.1015625
222,0.01171875,0.10546875
223,0.01171875,0.109375
224,0.01171875,0.11328125
225,0.01171875,0.1171875
226,0.01171875,0.12109375
227,0.01171875,0.125
228,0.01171875,0.12890625
229,0.01171875,0.1328125
230,0.01171875,0.13671875
231,0.01171875,0.140625
232,0.01171875,0.14453125
233,0.01171875,0.1484375
234,0.01171875,0.15234375
235,0.01171875,0.15625
236,0.01171875,0.16015625
237,0.01171875,0.1640625
238,0.01171875,0.16796875
239,0.01171875,0.171875
240,0.01171875,0.17578125
241,0.01171875,0.1796875
242,0.01171875,0.18359375
243,0.01171875,0.1875
244,0.01171875,0.19140625
245,0.01171875,0.1953125
246,0.01171875,0.19921875
247,0.01171875,0.203125
248,0.01171875,0.20703125
249,0.01171875,0.2109375
250,0.01171875,0.21484375
251,0.01171875,0.21875
